XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/05/2025 16:00,3344.58,3361.24,3340.1,3357.11,1253,0.37,
06/05/2025 12:00,3392.25,3399.72,3339.35,3344.97,-4728,-1.41,
06/05/2025 08:00,3371.31,3403.37,3369.77,3392.26,2095,0.62,
06/05/2025 04:00,3369.72,3374.47,3361.12,3371.28,156,0.05,
06/05/2025 00:00,3378.06,3384.2,3368.2,3369.7,-836,-0.25,
06/04/2025 20:00,3373.53,3379.18,3370.81,3378.03,450,0.13,
06/04/2025 16:00,3371.68,3382.2,3370.83,3373.61,193,0.06,
06/04/2025 12:00,3346.67,3384.6,3344.22,3371.68,2501,0.74,
06/04/2025 08:00,3354.49,3364.99,3343.5,3346.52,-797,-0.24,
06/04/2025 04:00,3359.24,3365.11,3347.89,3354.66,-458,-0.14,
06/04/2025 00:00,3360.03,3372.6,3346.26,3359.11,-92,-0.03,
06/03/2025 20:00,3352.56,3361.59,3352.54,3359.98,742,0.22,
06/03/2025 16:00,3350.32,3355.53,3344.7,3352.58,226,0.07,
06/03/2025 12:00,3359.37,3363.07,3333.26,3350.0,-937,-0.28,
06/03/2025 08:00,3359.64,3364.87,3353.52,3359.27,-37,-0.01,
06/03/2025 04:00,3361.08,3367.78,3351.09,3359.51,-157,-0.05,
06/03/2025 00:00,3387.47,3388.67,3359.6,3360.94,-2653,-0.79,
06/02/2025 20:00,3381.64,3392.19,3378.41,3387.34,570,0.17,
06/02/2025 16:00,3374.38,3382.36,3369.35,3381.66,728,0.22,
06/02/2025 12:00,3356.28,3378.81,3350.65,3374.24,1796,0.53,
06/02/2025 08:00,3352.58,3360.14,3344.61,3356.37,379,0.11,
06/02/2025 04:00,3308.82,3358.91,3308.77,3352.64,4382,1.31,
06/02/2025 00:00,3310.23,3314.98,3301.4,3308.72,-151,-0.05,
06/01/2025 20:00,3298.03,3316.5,3298.03,3310.29,1226,0.37,
05/30/2025 16:00,3288.55,3295.44,3283.93,3295.03,648,0.20,
05/30/2025 12:00,3293.94,3308.16,3271.62,3288.54,-540,-0.16,
05/30/2025 08:00,3294.93,3300.66,3288.52,3293.95,-98,-0.03,
05/30/2025 04:00,3294.24,3305.0,3287.19,3294.96,72,0.02,
05/30/2025 00:00,3315.55,3322.82,3291.43,3294.46,-2109,-0.64,
05/29/2025 20:00,3316.6,3321.02,3312.88,3315.51,-109,-0.03,
05/29/2025 16:00,3321.51,3330.71,3315.49,3316.72,-479,-0.14,
05/29/2025 12:00,3299.79,3322.0,3298.56,3321.48,2169,0.65,
05/29/2025 08:00,3286.41,3305.52,3276.34,3299.73,1332,0.40,
05/29/2025 04:00,3274.67,3287.33,3266.12,3286.61,1194,0.36,
05/29/2025 00:00,3259.64,3279.88,3245.44,3274.77,1513,0.46,
05/28/2025 20:00,3296.95,3297.3,3250.12,3259.28,-3767,-1.16,
05/28/2025 16:00,3296.11,3302.94,3288.61,3296.94,83,0.03,
05/28/2025 12:00,3311.21,3316.06,3292.59,3295.95,-1526,-0.46,
05/28/2025 08:00,3319.19,3325.48,3307.32,3311.23,-796,-0.24,
05/28/2025 04:00,3297.85,3322.34,3294.34,3318.98,2113,0.64,
05/28/2025 00:00,3309.33,3315.87,3291.44,3297.82,-1151,-0.35,
05/27/2025 20:00,3304.49,3310.94,3298.64,3309.24,475,0.14,
05/27/2025 16:00,3293.64,3308.05,3293.15,3304.62,1098,0.33,
05/27/2025 12:00,3288.42,3304.63,3285.38,3293.6,518,0.16,
05/27/2025 08:00,3296.32,3310.44,3287.8,3288.18,-814,-0.25,
05/27/2025 04:00,3341.21,3341.54,3292.48,3297.1,-4411,-1.34,
05/27/2025 00:00,3346.28,3349.84,3332.09,3341.24,-504,-0.15,
05/26/2025 20:00,3343.32,3348.81,3342.75,3346.23,291,0.09,
05/26/2025 16:00,3337.9,3343.64,3337.51,3342.09,419,0.13,
05/26/2025 12:00,3333.06,3341.56,3326.37,3337.86,480,0.14,
05/26/2025 08:00,3337.49,3339.68,3324.11,3333.14,-435,-0.13,
05/26/2025 04:00,3347.65,3351.63,3331.9,3337.4,-1025,-0.31,
05/26/2025 00:00,3342.64,3356.73,3331.57,3347.65,501,0.15,
05/25/2025 20:00,3352.87,3356.05,3341.34,3342.64,-1023,-0.31,
05/23/2025 16:00,3361.71,3365.85,3356.46,3365.3,359,0.11,
05/23/2025 12:00,3348.06,3364.78,3336.68,3361.72,1366,0.41,
05/23/2025 08:00,3329.16,3349.78,3322.61,3348.38,1922,0.57,
05/23/2025 04:00,3302.01,3334.43,3301.95,3329.31,2730,0.82,
05/23/2025 00:00,3300.22,3308.83,3286.83,3302.03,181,0.05,
05/22/2025 20:00,3290.28,3302.03,3289.63,3300.13,985,0.30,
05/22/2025 16:00,3294.92,3304.98,3289.05,3290.38,-454,-0.14,
05/22/2025 12:00,3314.34,3315.72,3279.14,3294.73,-1961,-0.60,
05/22/2025 08:00,3327.72,3329.91,3283.04,3314.78,-1294,-0.39,
05/22/2025 04:00,3335.31,3339.4,3322.66,3327.74,-757,-0.23,
05/22/2025 00:00,3320.25,3345.32,3319.41,3335.36,1511,0.45,
05/21/2025 20:00,3318.38,3324.21,3313.08,3320.12,174,0.05,
05/21/2025 16:00,3312.01,3324.86,3302.73,3318.37,636,0.19,
05/21/2025 12:00,3311.18,3315.28,3290.49,3312.04,86,0.03,
05/21/2025 08:00,3309.89,3318.32,3303.92,3311.15,126,0.04,
05/21/2025 04:00,3307.54,3320.54,3298.4,3309.69,215,0.06,
05/21/2025 00:00,3290.72,3314.22,3285.45,3307.61,1689,0.51,
05/20/2025 20:00,3294.15,3304.04,3288.23,3290.8,-335,-0.10,
05/20/2025 16:00,3277.3,3295.04,3275.24,3294.22,1692,0.51,
05/20/2025 12:00,3241.1,3285.74,3232.69,3277.36,3626,1.11,
05/20/2025 08:00,3222.82,3241.66,3218.41,3241.18,1836,0.57,
05/20/2025 04:00,3211.36,3225.47,3207.82,3222.89,1153,0.36,
05/20/2025 00:00,3222.78,3232.74,3204.57,3211.37,-1141,-0.36,
05/19/2025 20:00,3233.1,3233.75,3218.99,3222.51,-1059,-0.33,
05/19/2025 16:00,3231.77,3235.84,3225.37,3233.19,142,0.04,
05/19/2025 12:00,3243.84,3244.46,3217.1,3231.74,-1210,-0.37,
05/19/2025 08:00,3232.28,3248.37,3229.94,3243.83,1155,0.36,
05/19/2025 04:00,3212.02,3234.57,3206.65,3232.53,2051,0.63,
05/19/2025 00:00,3234.85,3249.78,3208.0,3212.11,-2274,-0.71,
05/18/2025 20:00,3211.78,3245.17,3206.49,3234.83,2305,0.71,
05/16/2025 16:00,3183.37,3192.24,3180.35,3189.45,608,0.19,
05/16/2025 12:00,3163.23,3187.74,3155.08,3183.47,2024,0.64,
05/16/2025 08:00,3207.64,3212.89,3154.39,3163.09,-4455,-1.41,
05/16/2025 04:00,3211.84,3231.12,3205.23,3207.54,-430,-0.13,
05/16/2025 00:00,3237.22,3244.53,3206.59,3211.94,-2528,-0.79,
05/15/2025 20:00,3231.97,3252.27,3231.07,3237.2,523,0.16,
05/15/2025 16:00,3219.73,3232.71,3215.87,3231.89,1216,0.38,
05/15/2025 12:00,3179.14,3220.15,3177.47,3219.69,4055,1.26,
05/15/2025 08:00,3142.16,3179.95,3139.21,3179.22,3706,1.17,
05/15/2025 04:00,3150.46,3153.82,3120.53,3142.24,-822,-0.26,
05/15/2025 00:00,3186.03,3192.62,3148.13,3150.56,-3547,-1.13,
05/14/2025 20:00,3180.62,3187.28,3176.86,3186.09,547,0.17,
05/14/2025 16:00,3182.57,3190.96,3167.87,3180.77,-180,-0.06,
05/14/2025 12:00,3220.56,3222.54,3175.07,3182.55,-3801,-1.19,
05/14/2025 08:00,3237.99,3243.5,3219.41,3220.17,-1782,-0.55,
05/14/2025 04:00,3228.5,3238.83,3221.56,3237.8,930,0.29,
05/14/2025 00:00,3254.32,3254.47,3226.14,3228.49,-2583,-0.80,
05/13/2025 20:00,3249.4,3257.01,3248.13,3254.23,483,0.15,
05/13/2025 16:00,3253.45,3257.82,3242.04,3249.45,-400,-0.12,
05/13/2025 12:00,3249.16,3255.82,3225.19,3253.53,437,0.13,
05/13/2025 08:00,3259.02,3260.85,3248.75,3249.1,-992,-0.31,
05/13/2025 04:00,3236.55,3265.47,3234.82,3258.94,2239,0.69,
05/13/2025 00:00,3236.9,3243.37,3215.78,3236.63,-27,-0.01,
05/12/2025 20:00,3235.41,3241.8,3229.83,3236.84,143,0.04,
05/12/2025 16:00,3239.14,3240.04,3220.32,3235.46,-368,-0.11,
05/12/2025 12:00,3224.7,3248.61,3220.38,3239.19,1449,0.45,
05/12/2025 08:00,3222.7,3234.32,3207.77,3224.9,220,0.07,
05/12/2025 04:00,3283.27,3283.58,3216.21,3222.85,-6042,-1.87,
05/12/2025 00:00,3287.57,3289.86,3259.26,3283.27,-430,-0.13,
05/11/2025 20:00,3287.71,3291.31,3265.87,3287.85,14,0.00,
05/09/2025 16:00,3344.98,3347.43,3336.01,3339.36,-562,-0.17,
05/09/2025 12:00,3333.19,3346.11,3320.31,3344.91,1172,0.35,
05/09/2025 08:00,3327.37,3338.08,3320.28,3333.1,573,0.17,
05/09/2025 04:00,3308.25,3332.3,3308.25,3327.27,1902,0.57,
05/09/2025 00:00,3316.48,3322.98,3274.84,3308.19,-829,-0.25,
05/08/2025 20:00,3306.4,3324.01,3303.69,3316.45,1005,0.30,
05/08/2025 16:00,3330.46,3330.46,3288.84,3306.43,-2403,-0.73,
05/08/2025 12:00,3344.27,3369.27,3326.55,3330.7,-1357,-0.41,
05/08/2025 08:00,3343.01,3346.62,3330.4,3344.32,131,0.04,
05/08/2025 04:00,3396.74,3399.17,3320.03,3343.02,-5372,-1.61,
05/08/2025 00:00,3376.6,3414.54,3373.8,3396.93,2033,0.60,
05/07/2025 20:00,3372.01,3377.17,3363.46,3376.43,442,0.13,
05/07/2025 16:00,3385.26,3397.88,3363.84,3371.88,-1338,-0.40,
05/07/2025 12:00,3387.02,3398.02,3375.36,3385.03,-199,-0.06,
05/07/2025 08:00,3387.98,3393.48,3369.39,3387.11,-87,-0.03,
05/07/2025 04:00,3375.5,3397.47,3375.15,3387.97,1247,0.37,
05/07/2025 00:00,3400.59,3401.41,3360.19,3375.49,-2510,-0.74,
05/06/2025 20:00,3423.12,3434.71,3377.56,3400.56,-2256,-0.66,
05/06/2025 16:00,3395.08,3424.06,3394.88,3423.3,2822,0.82,
05/06/2025 12:00,3379.11,3399.84,3373.19,3395.08,1597,0.47,
05/06/2025 08:00,3371.25,3384.92,3368.64,3379.04,779,0.23,
05/06/2025 04:00,3360.25,3379.54,3350.17,3370.95,1070,0.32,
05/06/2025 00:00,3334.16,3386.92,3323.31,3360.36,2620,0.78,
05/05/2025 20:00,3328.62,3338.02,3327.57,3334.13,551,0.17,
05/05/2025 16:00,3311.96,3337.46,3305.66,3329.1,1714,0.51,
05/05/2025 12:00,3312.83,3328.29,3309.03,3311.97,-86,-0.03,
05/05/2025 08:00,3264.79,3318.97,3263.07,3312.91,4812,1.45,
05/05/2025 04:00,3254.6,3267.73,3253.57,3264.88,1028,0.31,
05/05/2025 00:00,3248.23,3272.29,3241.01,3254.57,634,0.19,
05/04/2025 20:00,3241.79,3252.27,3237.67,3247.93,614,0.19,
05/02/2025 16:00,3231.63,3239.87,3222.67,3230.85,-78,-0.02,
05/02/2025 12:00,3262.67,3264.81,3230.22,3231.57,-3110,-0.96,
05/02/2025 08:00,3259.01,3269.17,3255.1,3262.66,365,0.11,
05/02/2025 04:00,3255.01,3263.24,3246.29,3258.96,395,0.12,
05/02/2025 00:00,3237.35,3258.66,3227.48,3255.03,1768,0.54,
05/01/2025 20:00,3228.25,3243.28,3228.05,3237.27,902,0.28,
05/01/2025 16:00,3216.28,3229.76,3208.78,3228.12,1184,0.37,
05/01/2025 12:00,3205.44,3233.06,3201.87,3216.37,1093,0.34,
05/01/2025 08:00,3230.03,3236.62,3203.48,3205.62,-2441,-0.76,
05/01/2025 04:00,3229.46,3243.13,3221.36,3230.01,55,0.02,
05/01/2025 00:00,3273.06,3276.33,3228.63,3229.4,-4366,-1.35,
04/30/2025 20:00,3295.86,3298.01,3269.65,3273.04,-2282,-0.70,
04/30/2025 16:00,3307.95,3314.25,3292.1,3295.32,-1263,-0.38,
04/30/2025 12:00,3272.2,3319.71,3266.84,3307.98,3578,1.08,
04/30/2025 08:00,3307.21,3307.6,3268.23,3271.73,-3548,-1.08,
04/30/2025 04:00,3304.56,3314.65,3301.21,3307.22,266,0.08,
04/30/2025 00:00,3317.17,3327.92,3303.51,3304.55,-1262,-0.38,
04/29/2025 20:00,3320.24,3323.56,3310.96,3317.04,-320,-0.10,
04/29/2025 16:00,3312.49,3329.95,3312.49,3320.81,832,0.25,
04/29/2025 12:00,3309.3,3321.21,3299.53,3312.49,319,0.10,
04/29/2025 08:00,3312.9,3312.9,3312.9,3312.9,0,0.00,
04/29/2025 04:00,3316.0,3323.89,3305.28,3322.79,679,0.20,
04/29/2025 00:00,3337.86,3340.02,3307.77,3315.8,-2206,-0.67,
04/28/2025 20:00,3352.06,3352.06,3332.25,3337.62,-1444,-0.43,
04/28/2025 16:00,3325.05,3353.05,3324.47,3352.3,2725,0.81,
04/28/2025 12:00,3294.14,3335.85,3286.94,3325.08,3094,0.93,
04/28/2025 08:00,3287.11,3297.08,3273.25,3294.28,717,0.22,
04/28/2025 04:00,3290.83,3300.99,3277.73,3287.34,-349,-0.11,
04/28/2025 00:00,3302.78,3315.81,3268.13,3290.92,-1186,-0.36,
04/27/2025 20:00,3329.58,3331.25,3298.68,3302.69,-2689,-0.81,
04/25/2025 16:00,3283.04,3296.97,3280.18,3288.63,559,0.17,
04/25/2025 12:00,3293.54,3302.98,3265.13,3282.85,-1069,-0.33,
04/25/2025 08:00,3307.45,3308.8,3288.18,3293.83,-1362,-0.41,
04/25/2025 04:00,3323.7,3327.43,3286.67,3307.24,-1646,-0.50,
04/25/2025 00:00,3348.79,3363.07,3322.33,3323.58,-2521,-0.76,
04/24/2025 20:00,3342.26,3370.97,3338.23,3348.93,667,0.20,
04/24/2025 16:00,3329.38,3346.96,3322.34,3342.04,1266,0.38,
04/24/2025 12:00,3336.98,3344.7,3306.34,3329.34,-764,-0.23,
04/24/2025 08:00,3333.7,3343.99,3325.43,3337.01,331,0.10,
04/24/2025 04:00,3326.91,3339.86,3314.7,3333.64,673,0.20,
04/24/2025 00:00,3316.4,3366.93,3313.36,3327.11,1071,0.32,
04/23/2025 20:00,3293.93,3316.9,3284.14,3316.37,2244,0.68,
04/23/2025 16:00,3280.38,3305.61,3277.78,3293.54,1316,0.40,
04/23/2025 12:00,3324.6,3333.33,3260.31,3280.31,-4429,-1.35,
04/23/2025 08:00,3319.17,3340.4,3306.08,3324.47,530,0.16,
04/23/2025 04:00,3338.86,3349.51,3291.75,3319.05,-1981,-0.60,
04/23/2025 00:00,3336.71,3386.48,3329.34,3339.02,231,0.07,
04/22/2025 20:00,3374.84,3382.85,3315.53,3336.75,-3809,-1.14,
04/22/2025 16:00,3417.72,3421.02,3366.78,3374.69,-4303,-1.28,
04/22/2025 12:00,3456.7,3464.85,3408.55,3417.58,-3912,-1.14,
04/22/2025 08:00,3468.63,3472.74,3443.15,3456.69,-1194,-0.35,
04/22/2025 04:00,3487.86,3499.89,3460.78,3468.48,-1938,-0.56,
04/22/2025 00:00,3434.52,3494.71,3412.42,3487.91,5339,1.53,
04/21/2025 20:00,3423.5,3444.32,3419.77,3434.55,1105,0.32,
04/21/2025 16:00,3422.92,3430.37,3406.03,3423.45,53,0.02,
04/21/2025 12:00,3404.45,3430.22,3398.24,3422.96,1851,0.54,
04/21/2025 08:00,3384.93,3405.98,3383.77,3404.36,1943,0.57,
04/21/2025 04:00,3382.46,3395.85,3369.45,3385.07,261,0.08,
04/21/2025 00:00,3348.01,3385.15,3347.42,3382.4,3439,1.02,
04/20/2025 20:00,3331.29,3352.82,3329.09,3348.05,1676,0.50,
04/17/2025 20:00,3320.64,3328.67,3317.93,3327.31,667,0.20,
04/17/2025 16:00,3296.43,3322.42,3294.9,3320.65,2422,0.73,
04/17/2025 12:00,3327.3,3341.6,3283.93,3296.39,-3091,-0.94,
04/17/2025 08:00,3323.42,3333.16,3312.88,3327.38,396,0.12,
04/17/2025 04:00,3344.56,3345.43,3314.18,3323.64,-2092,-0.63,
04/17/2025 00:00,3350.11,3356.13,3320.78,3344.67,-544,-0.16,
04/16/2025 20:00,3336.69,3357.77,3334.39,3350.05,1336,0.40,
04/16/2025 16:00,3325.31,3342.47,3321.56,3336.67,1136,0.34,
04/16/2025 12:00,3306.87,3328.08,3296.77,3325.32,1845,0.55,
04/16/2025 08:00,3300.37,3317.7,3289.01,3306.92,655,0.20,
04/16/2025 04:00,3281.33,3300.31,3269.5,3300.24,1891,0.57,
04/16/2025 00:00,3251.91,3281.79,3251.65,3281.44,2953,0.90,
04/15/2025 20:00,3229.82,3251.64,3226.48,3251.64,2182,0.67,
04/15/2025 16:00,3221.32,3231.93,3219.55,3229.74,842,0.26,
04/15/2025 12:00,3220.17,3226.86,3211.66,3221.3,113,0.04,
04/15/2025 08:00,3225.58,3232.15,3216.57,3220.01,-557,-0.17,
04/15/2025 04:00,3228.37,3232.61,3217.36,3225.47,-290,-0.09,
04/15/2025 00:00,3212.55,3229.09,3209.8,3228.31,1576,0.49,
04/14/2025 20:00,3212.65,3215.25,3207.3,3212.92,27,0.01,
04/14/2025 16:00,3198.13,3216.38,3197.77,3212.7,1457,0.45,
04/14/2025 12:00,3223.53,3227.79,3193.65,3198.05,-2548,-0.80,
04/14/2025 08:00,3227.9,3231.48,3206.29,3223.41,-449,-0.14,
04/14/2025 04:00,3232.41,3237.81,3221.27,3227.75,-466,-0.14,
04/14/2025 00:00,3223.69,3245.67,3215.05,3232.36,867,0.27,
04/13/2025 20:00,3219.1,3224.45,3209.89,3223.72,462,0.14,
04/11/2025 16:00,3240.53,3245.01,3219.75,3234.66,-587,-0.18,
04/11/2025 12:00,3213.79,3244.18,3211.23,3240.48,2669,0.82,
04/11/2025 08:00,3212.31,3237.27,3208.35,3213.4,109,0.03,
04/11/2025 04:00,3217.68,3219.02,3187.39,3212.13,-555,-0.17,
04/11/2025 00:00,3188.99,3220.0,3185.01,3217.69,2870,0.89,
04/10/2025 20:00,3170.85,3191.4,3168.2,3188.84,1799,0.56,
04/10/2025 16:00,3158.09,3176.27,3151.57,3171.01,1292,0.41,
04/10/2025 12:00,3124.64,3174.97,3116.04,3158.19,3355,1.06,
04/10/2025 08:00,3108.67,3125.73,3103.23,3124.49,1582,0.51,
04/10/2025 04:00,3125.34,3132.4,3106.6,3108.68,-1666,-0.54,
04/10/2025 00:00,3086.63,3131.25,3078.59,3125.38,3875,1.24,
04/09/2025 20:00,3093.66,3095.33,3071.36,3086.65,-701,-0.23,
04/09/2025 16:00,3086.25,3099.49,3048.67,3093.82,757,0.24,
04/09/2025 12:00,3066.51,3087.67,3042.53,3086.25,1974,0.64,
04/09/2025 08:00,3041.16,3067.67,3036.2,3066.32,2516,0.82,
04/09/2025 04:00,3004.37,3052.17,2999.84,3041.5,3713,1.22,
04/09/2025 00:00,2978.42,3011.17,2972.13,3004.44,2602,0.87,
04/08/2025 20:00,2984.88,2990.76,2970.19,2978.06,-682,-0.23,
04/08/2025 16:00,3001.52,3001.52,2974.84,2985.02,-1650,-0.55,
